Nombre,Comentarios,Fecha,Ingresos,Prioridad,Terminado
foto facu,,18 de mayo de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
cele viaje,,18 de mayo de 2026,RISPOLI VIAJES (https://app.notion.com/p/RISPOLI-VIAJES-3179627eeeff80ba8a88f07335737229?pvs=21),Terminado,
crativos,,18 de mayo de 2026,RAMINI (https://app.notion.com/p/RAMINI-2d59627eeeff8069a211e8473727a0ba?pvs=21),Terminado,
desvincular catalogo the ross y volver a vincular,,20 de mayo de 2026,THE ROSS (https://app.notion.com/p/THE-ROSS-2949627eeeff81a98e21d8627c0c1067?pvs=21),Terminado,
Nuevas ca invierno,,,RAMINI (https://app.notion.com/p/RAMINI-2d59627eeeff8069a211e8473727a0ba?pvs=21),Terminado,
claude,,,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
ca argentina,,,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
facturar usados,,1 de junio de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
nuevas ca calificadas y msjs para medir,,,PAULA OIKOS (https://app.notion.com/p/PAULA-OIKOS-3139627eeeff80b78c04e205c32fb55f?pvs=21),Terminado,
plata gta,,,GO TRAVEL ACADEMY (https://app.notion.com/p/GO-TRAVEL-ACADEMY-2f29627eeeff80309a58d4ced486f125?pvs=21),Terminado,
"cierre de mes ",,31 de mayo de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
cotizar agencia de viajes,,,,Terminado,
Cambiar seg y marcar vtas,,1 de junio de 2026,RISPOLI VIAJES (https://app.notion.com/p/RISPOLI-VIAJES-3179627eeeff80ba8a88f07335737229?pvs=21),Terminado,
"Cambiar seg ",,7 de junio de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Terminado,
ACTUALIZAR CA MAC Y USADOS,,1 de junio de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
analizar precios,,1 de junio de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
rispoli viajes nueva ca 15k,,7 de junio de 2026,RISPOLI VIAJES (https://app.notion.com/p/RISPOLI-VIAJES-3179627eeeff80ba8a88f07335737229?pvs=21),Terminado,
provincias,,8 de junio de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Terminado,
grabar ca seleccion + placa,,,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
prueba nuevas segmentaciones,,7 de junio de 2026,Inmobiliaria Obregón (https://app.notion.com/p/Inmobiliaria-Obreg-n-30c9627eeeff80e0b22cca9b9c6ee3d2?pvs=21),Terminado,
campaña de trafico web,,19 de junio de 2026,Inmobiliaria Obregón (https://app.notion.com/p/Inmobiliaria-Obreg-n-30c9627eeeff80e0b22cca9b9c6ee3d2?pvs=21),Low,
"nuevos creativos ",,,NOIRPRESS (https://app.notion.com/p/NOIRPRESS-2ce9627eeeff8090a5afeae41f149996?pvs=21),Terminado,
pasar pixel programador,,,Inmobiliaria Obregón (https://app.notion.com/p/Inmobiliaria-Obreg-n-30c9627eeeff80e0b22cca9b9c6ee3d2?pvs=21),Terminado,
REPORTES METRICAS,,,Inmobiliaria Obregón (https://app.notion.com/p/Inmobiliaria-Obreg-n-30c9627eeeff80e0b22cca9b9c6ee3d2?pvs=21),Terminado,
dolar app,,9 de junio de 2026,RISPOLI VIAJES (https://app.notion.com/p/RISPOLI-VIAJES-3179627eeeff80ba8a88f07335737229?pvs=21),Terminado,
Resto de las provincias,,12 de junio de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Terminado,
Nuevos cursos,,,GO TRAVEL ACADEMY (https://app.notion.com/p/GO-TRAVEL-ACADEMY-2f29627eeeff80309a58d4ced486f125?pvs=21),Terminado,
cotizaciones nuevos clientes,,,,Terminado,
historia y grupos camisetas,,,,Terminado,
pm por depto maipu video palo,,,Inmobiliaria Obregón (https://app.notion.com/p/Inmobiliaria-Obreg-n-30c9627eeeff80e0b22cca9b9c6ee3d2?pvs=21),Terminado,
nuevo video goldtech,,,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
nuevas prop + subir creativos pau,,19 de junio de 2026,PAULA OIKOS (https://app.notion.com/p/PAULA-OIKOS-3139627eeeff80b78c04e205c32fb55f?pvs=21),Medium,
placa nueva,,12 de junio de 2026,GO TRAVEL ACADEMY (https://app.notion.com/p/GO-TRAVEL-ACADEMY-2f29627eeeff80309a58d4ced486f125?pvs=21),Terminado,
"placa nueva ",,12 de junio de 2026,RISPOLI VIAJES (https://app.notion.com/p/RISPOLI-VIAJES-3179627eeeff80ba8a88f07335737229?pvs=21),Terminado,
nuevo wpp,,12 de junio de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
inicio del trabajo,,12 de junio de 2026,EPIC WORLD (https://app.notion.com/p/EPIC-WORLD-37d9627eeeff80819c4fdc2517bf37b6?pvs=21),Terminado,
revision y nuevos creativos,,12 de junio de 2026,NOIRPRESS (https://app.notion.com/p/NOIRPRESS-2ce9627eeeff8090a5afeae41f149996?pvs=21),Terminado,
apagar tucuman,,21 de agosto de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Low,
apagar san rafael,,12 de junio de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Terminado,
apagar la rioja,,3 de julio de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Low,
apagar catamarca,,26 de junio de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Low,
Creativos,,12 de junio de 2026,EPIC WORLD (https://app.notion.com/p/EPIC-WORLD-37d9627eeeff80819c4fdc2517bf37b6?pvs=21),Terminado,
"Creativos ",,12 de junio de 2026,GO TRAVEL ACADEMY (https://app.notion.com/p/GO-TRAVEL-ACADEMY-2f29627eeeff80309a58d4ced486f125?pvs=21),Terminado,
placa,,12 de junio de 2026,RISPOLI VIAJES (https://app.notion.com/p/RISPOLI-VIAJES-3179627eeeff80ba8a88f07335737229?pvs=21),Terminado,
apagar rosario,,27 de julio de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Low,
apagar cordoba,,17 de agosto de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Low,
ANALISIS ESTRATEGICO,,18 de junio de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
